,fit,M1,M2,M3,M4,M5,M6,M7,M8,M1M1,M1M2,M1M3,M1M4,M1M5,M1M6,M1M7,M1M8,M2M2,M2M3,M2M4,M2M5,M2M6,M2M7,M2M8,M3M3,M3M4,M3M5,M3M6,M3M7,M3M8,M4M4,M4M5,M4M6,M4M7,M4M8,M5M5,M5M6,M5M7,M5M8,M6M6,M6M7,M6M8,M7M7,M7M8,M8M8
32,-0.004998322972504243,100.31242528423009,-116.53537292596579,-20780.17810100077,-2151.4596926696295,48.64752556072705,-62.154834525501585,-14405.468938374426,-493.77346683410275,10062.582666404243,-11689.945889605833,-2084510.0631496338,-215818.13967295483,4879.951273073105,-6234.902194393062,-1445047.526564982,-49531.613999131194,13580.49314299392,2421625.804468112,250721.15762043901,-5669.157533144779,7243.236820581021,1678746.6949068801,57542.075098459165,431815801.90931195,44707715.59079928,-1010904.2453248954,1291588.5312781546,299348210.167855,10260700.582361251,4628778.809182096,-104663.19039201975,133723.62118616732,30992785.774916936,1062333.7112033162,2366.5817431815913,-3023.6789013020984,-700790.4183938294,-24020.857349020822,3863.223454892484,895369.5381269155,30690.4081241569,207517535.33447042,7113038.339072122,243812.23654936877
33,-0.0014846543717392802,100.31242528423009,-84.08947764249439,-20780.17810100077,-2151.4596926696295,48.64752556072705,-62.154834525501585,-14405.468938374426,-493.77346683410275,10062.582666404243,-8435.219443202655,-2084510.0631496338,-215818.13967295483,4879.951273073105,-6234.902194393062,-1445047.526564982,-49531.613999131194,7071.040250187563,1747394.3218311556,180915.12172547064,-4090.7450130014313,5226.567568205103,1211348.3582230837,41521.15289980323,431815801.90931195,44707715.59079928,-1010904.2453248954,1291588.5312781546,299348210.167855,10260700.582361251,4628778.809182096,-104663.19039201975,133723.62118616732,30992785.774916936,1062333.7112033162,2366.5817431815913,-3023.6789013020984,-700790.4183938294,-24020.857349020822,3863.223454892484,895369.5381269155,30690.4081241569,207517535.33447042,7113038.339072122,243812.23654936877
34,0.08050064160637521,100.31242528423009,-116.53537292596579,-20780.17810100077,-2151.4596926696295,48.64752556072705,-35.14021659595251,-14405.468938374426,-493.77346683410275,10062.582666404243,-11689.945889605833,-2084510.0631496338,-215818.13967295483,4879.951273073105,-3525.000351753148,-1445047.526564982,-49531.613999131194,13580.49314299392,2421625.804468112,250721.15762043901,-5669.157533144779,4095.078245708538,1678746.6949068801,57542.075098459165,431815801.90931195,44707715.59079928,-1010904.2453248954,730219.9593716362,299348210.167855,10260700.582361251,4628778.809182096,-104663.19039201975,75602.7595978722,30992785.774916936,1062333.7112033162,2366.5817431815913,-1709.4845850610845,-700790.4183938294,-24020.857349020822,1234.8348224104561,506211.2986607434,17351.306573884744,207517535.33447042,7113038.339072122,243812.23654936877
35,0.08325574068861702,100.31242528423009,-84.08947764249439,-20780.17810100077,-2151.4596926696295,48.64752556072705,-35.14021659595251,-14405.468938374426,-493.77346683410275,10062.582666404243,-8435.219443202655,-2084510.0631496338,-215818.13967295483,4879.951273073105,-3525.000351753148,-1445047.526564982,-49531.613999131194,7071.040250187563,1747394.3218311556,180915.12172547064,-4090.7450130014313,2954.922457797759,1211348.3582230837,41521.15289980323,431815801.90931195,44707715.59079928,-1010904.2453248954,730219.9593716362,299348210.167855,10260700.582361251,4628778.809182096,-104663.19039201975,75602.7595978722,30992785.774916936,1062333.7112033162,2366.5817431815913,-1709.4845850610845,-700790.4183938294,-24020.857349020822,1234.8348224104561,506211.2986607434,17351.306573884744,207517535.33447042,7113038.339072122,243812.23654936877
36,-0.015483028371036989,42.167514356268924,-45.22403674639287,-737.6407408983503,-336.6822024765329,128.572067111115,-132.51781389607547,-1229.2724685083865,-4733.266223273308,1778.0992669861457,-1906.9852187519548,-31104.47653160003,-14197.05160642944,5421.564485723113,-5587.9468199241355,-51835.36446359353,-199590.07142192003,2045.2134996390926,33359.09197202345,15226.128296655208,-5814.547887592755,5992.990485187768,55592.66328715234,214057.4056117723,544113.8626330671,248350.5092820781,-94839.99484267527,97750.53842453081,906761.4544364702,3491450.0038044592,113354.9054644491,-43287.92673193079,44616.38944990598,413874.16214116797,1593606.496959438,16530.776441225058,-17038.089261664463,-158050.10231890625,-608565.8225134696,17560.970999794892,162900.50020936364,627242.0924963122,1511110.801832702,5818473.854390548,22403809.140379965
37,-0.014601772216088271,42.167514356268924,-39.11099196614498,-737.6407408983503,-336.6822024765329,128.572067111115,-132.51781389607547,-1229.2724685083865,-4733.266223273308,1778.0992669861457,-1649.2133152203369,-31104.47653160003,-14197.05160642944,5421.564485723113,-5587.9468199241355,-51835.36446359353,-199590.07142192003,1529.6696925758572,28849.861091176608,13167.974916203675,-5028.581083853472,5182.903154660503,48078.065640034714,185122.73723206774,544113.8626330671,248350.5092820781,-94839.99484267527,97750.53842453081,906761.4544364702,3491450.0038044592,113354.9054644491,-43287.92673193079,44616.38944990598,413874.16214116797,1593606.496959438,16530.776441225058,-17038.089261664463,-158050.10231890625,-608565.8225134696,17560.970999794892,162900.50020936364,627242.0924963122,1511110.801832702,5818473.854390548,22403809.140379965
38,-0.008907469409983326,42.167514356268924,-45.22403674639287,-737.6407408983503,-336.6822024765329,128.572067111115,-124.6263203261545,-1229.2724685083865,-4733.266223273308,1778.0992669861457,-1906.9852187519548,-31104.47653160003,-14197.05160642944,5421.564485723113,-5255.182151522089,-51835.36446359353,-199590.07142192003,2045.2134996390926,33359.09197202345,15226.128296655208,-5814.547887592755,5636.105289997739,55592.66328715234,214057.4056117723,544113.8626330671,248350.5092820781,-94839.99484267527,91929.45126081974,906761.4544364702,3491450.0038044592,113354.9054644491,-43287.92673193079,41959.46401395559,413874.16214116797,1593606.496959438,16530.776441225058,-16023.463620785651,-158050.10231890625,-608565.8225134696,15531.71971803727,153199.70442844884,589889.5525306269,1511110.801832702,5818473.854390548,22403809.140379965
39,-0.008036364390923034,42.167514356268924,-39.11099196614498,-737.6407408983503,-336.6822024765329,128.572067111115,-124.6263203261545,-1229.2724685083865,-4733.266223273308,1778.0992669861457,-1649.2133152203369,-31104.47653160003,-14197.05160642944,5421.564485723113,-5255.182151522089,-51835.36446359353,-199590.07142192003,1529.6696925758572,28849.861091176608,13167.974916203675,-5028.581083853472,4874.25901304644,48078.065640034714,185122.73723206774,544113.8626330671,248350.5092820781,-94839.99484267527,91929.45126081974,906761.4544364702,3491450.0038044592,113354.9054644491,-43287.92673193079,41959.46401395559,413874.16214116797,1593606.496959438,16530.776441225058,-16023.463620785651,-158050.10231890625,-608565.8225134696,15531.71971803727,153199.70442844884,589889.5525306269,1511110.801832702,5818473.854390548,22403809.140379965
40,-0.0006232895002393768,13.016063809614337,-18.3737187209168,-2266.413803449411,-2264.8991922394384,73.24401752470096,-96.6486077957318,-43250.568227743424,-1270.9536917042492,169.4179170959521,-239.15349529135858,-29499.786684688257,-29480.072408532502,953.3488057740185,-1257.984446179635,-562952.1558543869,-16542.814350287415,337.5935396353684,41642.44972978268,41614.62068943911,-1345.764975988756,1775.7943344069827,794673.7751363786,23352.14563868468,5136631.528466024,5133198.792712884,-166001.2523380728,219045.7387924149,98023684.83838822,2880506.9904234973,5129768.351006861,-165890.31612806648,218899.35372761925,97958177.0429128,2878581.9897146863,5364.686103158702,-7078.932323128531,-3167845.3772261143,-93089.75446826941,9340.953388853191,4180107.2055857135,122835.90487606142,1870611652.0226889,54969469.35735701,1615323.2864566597
41,0.0011642973022810699,13.016063809614337,-7.658408898311877,-2266.413803449411,-2264.8991922394384,73.24401752470096,-96.6486077957318,-43250.568227743424,-1270.9536917042492,169.4179170959521,-99.68233890054563,-29499.786684688257,-29480.072408532502,953.3488057740185,-1257.984446179635,-562952.1558543869,-16542.814350287415,58.651226853742536,17357.123639593832,17345.524127625897,-560.9326355592809,740.1745579522872,331230.5365723952,9733.483061890152,5136631.528466024,5133198.792712884,-166001.2523380728,219045.7387924149,98023684.83838822,2880506.9904234973,5129768.351006861,-165890.31612806648,218899.35372761925,97958177.0429128,2878581.9897146863,5364.686103158702,-7078.932323128531,-3167845.3772261143,-93089.75446826941,9340.953388853191,4180107.2055857135,122835.90487606142,1870611652.0226889,54969469.35735701,1615323.2864566597
